Source,Target,Type,Id,Label,Weight
149,20,Directed,5139,,1
83,25,Directed,5140,,1
332,13,Directed,5141,,1
25,94,Directed,5142,,1
342,59,Directed,5143,,1
238,239,Directed,5144,,1
17,326,Directed,5145,,1
80,187,Directed,5146,,1
325,109,Directed,5147,,1
224,84,Directed,5148,,1
161,142,Directed,5149,,1
122,323,Directed,5150,,1
161,308,Directed,5151,,1
142,66,Directed,5152,,1
308,31,Directed,5153,,1
136,7,Directed,5154,,1
271,252,Directed,5155,,1
255,49,Directed,5156,,1
48,320,Directed,5157,,1
3,85,Directed,5158,,1
246,7,Directed,5159,,1
109,56,Directed,5160,,1
109,119,Directed,5161,,1
239,238,Directed,5162,,1
272,186,Directed,5163,,1
200,123,Directed,5164,,1
285,246,Directed,5165,,1
271,188,Directed,5166,,1
31,277,Directed,5167,,1
326,17,Directed,5168,,1
284,108,Directed,5169,,1
140,137,Directed,5170,,1
56,26,Directed,5171,,1
343,115,Directed,5172,,1
25,323,Directed,5173,,1
345,159,Directed,5174,,1
297,26,Directed,5175,,1
343,149,Directed,5176,,1
320,48,Directed,5177,,1
200,109,Directed,5178,,1
185,271,Directed,5179,,1
7,136,Directed,5180,,1
326,149,Directed,5181,,1
104,56,Directed,5182,,1
339,136,Directed,5183,,1
308,142,Directed,5184,,1
324,329,Directed,5185,,1
9,252,Directed,5186,,1
1,315,Directed,5187,,1
21,274,Directed,5188,,1
119,171,Directed,5189,,1
345,67,Directed,5190,,1
280,1,Directed,5191,,1
313,265,Directed,5192,,1
277,271,Directed,5193,,1
56,88,Directed,5194,,1
9,203,Directed,5195,,1
85,176,Directed,5196,,1
111,343,Directed,5197,,1
14,20,Directed,5198,,1
310,32,Directed,5199,,1
304,30,Directed,5200,,1
199,222,Directed,5201,,1
92,346,Directed,5202,,1
72,40,Directed,5203,,1
284,184,Directed,5204,,1
125,136,Directed,5205,,1
134,118,Directed,5206,,1
9,322,Directed,5207,,1
302,266,Directed,5208,,1
332,104,Directed,5209,,1
40,199,Directed,5210,,1
212,67,Directed,5211,,1
200,277,Directed,5212,,1
82,169,Directed,5213,,1
270,203,Directed,5214,,1
308,172,Directed,5215,,1
261,63,Directed,5216,,1
146,313,Directed,5217,,1
188,285,Directed,5218,,1
57,92,Directed,5219,,1
168,304,Directed,5220,,1
199,265,Directed,5221,,1
332,98,Directed,5222,,1
169,136,Directed,5223,,1
213,57,Directed,5224,,1
248,277,Directed,5225,,1
98,271,Directed,5226,,1
56,141,Directed,5227,,1
310,17,Directed,5228,,1
199,118,Directed,5229,,1
239,141,Directed,5230,,1
21,212,Directed,5231,,1
176,128,Directed,5232,,1
175,278,Directed,5233,,1
203,25,Directed,5234,,1
265,40,Directed,5235,,1
26,252,Directed,5236,,1
339,340,Directed,5237,,1
172,232,Directed,5238,,1
31,237,Directed,5239,,1
311,265,Directed,5240,,1
309,135,Directed,5241,,1
330,80,Directed,5242,,1
230,70,Directed,5243,,1
272,159,Directed,5244,,1
21,134,Directed,5245,,1
24,53,Directed,5246,,1
40,332,Directed,5247,,1
261,16,Directed,5248,,1
239,223,Directed,5249,,1
304,249,Directed,5250,,1
277,39,Directed,5251,,1
224,141,Directed,5252,,1
142,345,Directed,5253,,1
72,141,Directed,5254,,1
313,21,Directed,5255,,1
261,271,Directed,5256,,1
276,25,Directed,5257,,1
109,200,Directed,5258,,1
288,25,Directed,5259,,1
329,291,Directed,5260,,1
194,242,Directed,5261,,1
223,203,Directed,5262,,1
290,170,Directed,5263,,1
261,325,Directed,5264,,1
36,251,Directed,5265,,1
291,10,Directed,5266,,1
342,67,Directed,5267,,1
21,55,Directed,5268,,1
108,284,Directed,5269,,1
3,228,Directed,5270,,1
168,31,Directed,5271,,1
67,69,Directed,5272,,1
323,142,Directed,5273,,1
261,113,Directed,5274,,1
55,200,Directed,5275,,1
13,277,Directed,5276,,1
322,25,Directed,5277,,1
258,257,Directed,5278,,1
285,136,Directed,5279,,1
80,320,Directed,5280,,1
265,98,Directed,5281,,1
252,248,Directed,5282,,1
62,200,Directed,5283,,1
313,54,Directed,5284,,1
196,249,Directed,5285,,1
323,85,Directed,5286,,1
82,231,Directed,5287,,1
141,224,Directed,5288,,1
342,119,Directed,5289,,1
304,325,Directed,5290,,1
136,156,Directed,5291,,1
325,104,Directed,5292,,1
211,325,Directed,5293,,1
304,158,Directed,5294,,1
254,302,Directed,5295,,1
92,242,Directed,5296,,1
30,303,Directed,5297,,1
274,188,Directed,5298,,1
28,310,Directed,5299,,1
271,30,Directed,5300,,1
286,81,Directed,5301,,1
144,326,Directed,5302,,1
265,56,Directed,5303,,1
249,57,Directed,5304,,1
341,186,Directed,5305,,1
174,293,Directed,5306,,1
33,42,Directed,5307,,1
312,28,Directed,5308,,1
199,212,Directed,5309,,1
9,323,Directed,5310,,1
168,347,Directed,5311,,1
67,142,Directed,5312,,1
1,53,Directed,5313,,1
115,2,Directed,5314,,1
333,2,Directed,5315,,1
332,38,Directed,5316,,1
291,280,Directed,5317,,1
119,54,Directed,5318,,1
271,232,Directed,5319,,1
135,281,Directed,5320,,1
258,9,Directed,5321,,1
285,200,Directed,5322,,1
330,94,Directed,5323,,1
263,175,Directed,5324,,1
212,304,Directed,5325,,1
238,342,Directed,5326,,1
284,159,Directed,5327,,1
111,279,Directed,5328,,1
141,172,Directed,5329,,1
66,21,Directed,5330,,1
313,203,Directed,5331,,1
84,51,Directed,5332,,1
139,320,Directed,5333,,1
25,186,Directed,5334,,1
252,338,Directed,5335,,1
200,188,Directed,5336,,1
59,342,Directed,5337,,1
162,149,Directed,5338,,1
304,322,Directed,5339,,1
185,169,Directed,5340,,1
252,236,Directed,5341,,1
25,290,Directed,5342,,1
56,185,Directed,5343,,1
158,40,Directed,5344,,1
238,222,Directed,5345,,1
56,128,Directed,5346,,1
199,261,Directed,5347,,1
271,203,Directed,5348,,1
63,313,Directed,5349,,1
62,161,Directed,5350,,1
302,57,Directed,5351,,1
19,175,Directed,5352,,1
98,172,Directed,5353,,1
28,144,Directed,5354,,1
249,213,Directed,5355,,1
239,252,Directed,5356,,1
332,25,Directed,5357,,1
265,203,Directed,5358,,1
303,104,Directed,5359,,1
339,161,Directed,5360,,1
119,39,Directed,5361,,1
239,211,Directed,5362,,1
313,172,Directed,5363,,1
200,122,Directed,5364,,1
104,303,Directed,5365,,1
75,9,Directed,5366,,1
137,312,Directed,5367,,1
272,203,Directed,5368,,1
218,78,Directed,5369,,1
261,268,Directed,5370,,1
314,65,Directed,5371,,1
57,213,Directed,5372,,1
21,56,Directed,5373,,1
7,213,Directed,5374,,1
139,281,Directed,5375,,1
5,122,Directed,5376,,1
55,21,Directed,5377,,1
80,24,Directed,5378,,1
178,38,Directed,5379,,1
186,109,Directed,5380,,1
304,21,Directed,5381,,1
192,49,Directed,5382,,1
203,21,Directed,5383,,1
285,271,Directed,5384,,1
122,248,Directed,5385,,1
104,322,Directed,5386,,1
312,243,Directed,5387,,1
302,254,Directed,5388,,1
236,169,Directed,5389,,1
304,324,Directed,5390,,1
266,249,Directed,5391,,1
3,280,Directed,5392,,1
243,312,Directed,5393,,1
211,98,Directed,5394,,1
195,181,Directed,5395,,1
8,245,Directed,5396,,1
297,185,Directed,5397,,1
113,104,Directed,5398,,1
10,142,Directed,5399,,1
129,7,Directed,5400,,1
56,297,Directed,5401,,1
248,323,Directed,5402,,1
273,328,Directed,5403,,1
115,19,Directed,5404,,1
36,309,Directed,5405,,1
129,168,Directed,5406,,1
242,194,Directed,5407,,1
343,2,Directed,5408,,1
21,169,Directed,5409,,1
226,343,Directed,5410,,1
40,200,Directed,5411,,1
172,331,Directed,5412,,1
326,343,Directed,5413,,1
134,26,Directed,5414,,1
332,329,Directed,5415,,1
3,200,Directed,5416,,1
331,109,Directed,5417,,1
150,128,Directed,5418,,1
101,299,Directed,5419,,1
203,59,Directed,5420,,1
231,315,Directed,5421,,1
265,199,Directed,5422,,1
99,296,Directed,5423,,1
322,290,Directed,5424,,1
296,102,Directed,5425,,1
118,261,Directed,5426,,1
238,56,Directed,5427,,1
117,231,Directed,5428,,1
312,149,Directed,5429,,1
304,308,Directed,5430,,1
105,277,Directed,5431,,1
204,196,Directed,5432,,1
315,303,Directed,5433,,1
284,21,Directed,5434,,1
239,21,Directed,5435,,1
312,326,Directed,5436,,1
277,161,Directed,5437,,1
340,213,Directed,5438,,1
98,223,Directed,5439,,1
172,277,Directed,5440,,1
128,104,Directed,5441,,1
313,222,Directed,5442,,1
98,331,Directed,5443,,1
299,194,Directed,5444,,1
122,141,Directed,5445,,1
324,217,Directed,5446,,1
291,25,Directed,5447,,1
13,188,Directed,5448,,1
104,318,Directed,5449,,1
261,65,Directed,5450,,1
265,128,Directed,5451,,1
163,173,Directed,5452,,1
116,14,Directed,5453,,1
92,1,Directed,5454,,1
26,3,Directed,5455,,1
165,121,Directed,5456,,1
3,25,Directed,5457,,1
149,226,Directed,5458,,1
328,306,Directed,5459,,1
172,141,Directed,5460,,1
303,315,Directed,5461,,1
56,239,Directed,5462,,1
122,274,Directed,5463,,1
46,177,Directed,5464,,1
249,180,Directed,5465,,1
73,1,Directed,5466,,1
272,346,Directed,5467,,1
53,48,Directed,5468,,1
199,119,Directed,5469,,1
248,38,Directed,5470,,1
24,187,Directed,5471,,1
196,67,Directed,5472,,1
304,172,Directed,5473,,1
87,136,Directed,5474,,1
323,141,Directed,5475,,1
323,62,Directed,5476,,1
189,217,Directed,5477,,1
280,236,Directed,5478,,1
115,137,Directed,5479,,1
25,276,Directed,5480,,1
186,55,Directed,5481,,1
30,56,Directed,5482,,1
60,285,Directed,5483,,1
197,127,Directed,5484,,1
334,26,Directed,5485,,1
304,170,Directed,5486,,1
259,8,Directed,5487,,1
346,184,Directed,5488,,1
186,199,Directed,5489,,1
200,39,Directed,5490,,1
185,344,Directed,5491,,1
184,329,Directed,5492,,1
149,162,Directed,5493,,1
285,213,Directed,5494,,1
185,290,Directed,5495,,1
13,261,Directed,5496,,1
204,5,Directed,5497,,1
109,26,Directed,5498,,1
169,40,Directed,5499,,1
194,196,Directed,5500,,1
85,156,Directed,5501,,1
67,55,Directed,5502,,1
98,285,Directed,5503,,1
123,342,Directed,5504,,1
118,283,Directed,5505,,1
45,67,Directed,5506,,1
80,48,Directed,5507,,1
162,343,Directed,5508,,1
272,21,Directed,5509,,1
271,133,Directed,5510,,1
67,297,Directed,5511,,1
13,118,Directed,5512,,1
115,28,Directed,5513,,1
230,23,Directed,5514,,1
58,269,Directed,5515,,1
46,175,Directed,5516,,1
25,169,Directed,5517,,1
80,57,Directed,5518,,1
135,197,Directed,5519,,1
203,161,Directed,5520,,1
113,261,Directed,5521,,1
116,23,Directed,5522,,1
275,218,Directed,5523,,1
285,170,Directed,5524,,1
314,199,Directed,5525,,1
279,111,Directed,5526,,1
126,48,Directed,5527,,1
36,320,Directed,5528,,1
137,167,Directed,5529,,1
140,326,Directed,5530,,1
130,48,Directed,5531,,1
302,94,Directed,5532,,1
315,80,Directed,5533,,1
101,80,Directed,5534,,1
23,227,Directed,5535,,1
92,194,Directed,5536,,1
2,20,Directed,5537,,1
72,252,Directed,5538,,1
323,96,Directed,5539,,1
91,8,Directed,5540,,1
143,177,Directed,5541,,1
200,30,Directed,5542,,1
257,26,Directed,5543,,1
331,324,Directed,5544,,1
142,322,Directed,5545,,1
188,104,Directed,5546,,1
239,276,Directed,5547,,1
23,61,Directed,5548,,1
325,21,Directed,5549,,1
204,94,Directed,5550,,1
346,194,Directed,5551,,1
223,186,Directed,5552,,1
56,252,Directed,5553,,1
113,142,Directed,5554,,1
26,21,Directed,5555,,1
285,323,Directed,5556,,1
290,176,Directed,5557,,1
93,167,Directed,5558,,1
276,122,Directed,5559,,1
96,133,Directed,5560,,1
41,243,Directed,5561,,1
188,304,Directed,5562,,1
203,313,Directed,5563,,1
200,170,Directed,5564,,1
232,200,Directed,5565,,1
235,5,Directed,5566,,1
6,89,Directed,5567,,1
171,107,Directed,5568,,1
257,169,Directed,5569,,1
224,232,Directed,5570,,1
271,79,Directed,5571,,1
187,24,Directed,5572,,1
141,67,Directed,5573,,1
113,66,Directed,5574,,1
56,103,Directed,5575,,1
59,271,Directed,5576,,1
40,213,Directed,5577,,1
158,26,Directed,5578,,1
211,82,Directed,5579,,1
285,208,Directed,5580,,1
119,285,Directed,5581,,1
26,9,Directed,5582,,1
40,133,Directed,5583,,1
143,175,Directed,5584,,1
56,132,Directed,5585,,1
45,221,Directed,5586,,1
212,344,Directed,5587,,1
285,315,Directed,5588,,1
301,324,Directed,5589,,1
21,170,Directed,5590,,1
326,214,Directed,5591,,1
281,159,Directed,5592,,1
281,251,Directed,5593,,1
109,67,Directed,5594,,1
25,232,Directed,5595,,1
59,56,Directed,5596,,1
92,180,Directed,5597,,1
122,284,Directed,5598,,1
322,48,Directed,5599,,1
277,308,Directed,5600,,1
290,323,Directed,5601,,1
167,93,Directed,5602,,1
250,59,Directed,5603,,1
106,29,Directed,5604,,1
274,341,Directed,5605,,1
249,302,Directed,5606,,1
118,239,Directed,5607,,1
111,337,Directed,5608,,1
252,109,Directed,5609,,1
56,55,Directed,5610,,1
80,266,Directed,5611,,1
252,134,Directed,5612,,1
104,67,Directed,5613,,1
94,346,Directed,5614,,1
141,280,Directed,5615,,1
325,161,Directed,5616,,1
322,203,Directed,5617,,1
96,274,Directed,5618,,1
158,315,Directed,5619,,1
199,98,Directed,5620,,1
134,132,Directed,5621,,1
280,98,Directed,5622,,1
254,187,Directed,5623,,1
329,269,Directed,5624,,1
297,21,Directed,5625,,1
100,150,Directed,5626,,1
110,264,Directed,5627,,1
266,330,Directed,5628,,1
171,150,Directed,5629,,1
322,45,Directed,5630,,1
72,165,Directed,5631,,1
344,257,Directed,5632,,1
184,21,Directed,5633,,1
119,332,Directed,5634,,1
257,236,Directed,5635,,1
277,324,Directed,5636,,1
332,248,Directed,5637,,1
329,119,Directed,5638,,1
225,86,Directed,5639,,1
232,56,Directed,5640,,1
291,224,Directed,5641,,1
53,196,Directed,5642,,1
315,213,Directed,5643,,1
322,136,Directed,5644,,1
181,152,Directed,5645,,1
141,257,Directed,5646,,1
180,80,Directed,5647,,1
26,199,Directed,5648,,1
45,104,Directed,5649,,1
332,67,Directed,5650,,1
303,45,Directed,5651,,1
250,252,Directed,5652,,1
3,26,Directed,5653,,1
98,148,Directed,5654,,1
185,55,Directed,5655,,1
172,239,Directed,5656,,1
295,239,Directed,5657,,1
325,98,Directed,5658,,1
252,113,Directed,5659,,1
323,119,Directed,5660,,1
188,315,Directed,5661,,1
55,203,Directed,5662,,1
137,111,Directed,5663,,1
224,200,Directed,5664,,1
194,80,Directed,5665,,1
295,104,Directed,5666,,1
17,140,Directed,5667,,1
266,302,Directed,5668,,1
232,212,Directed,5669,,1
249,24,Directed,5670,,1
200,323,Directed,5671,,1
323,122,Directed,5672,,1
203,65,Directed,5673,,1
259,201,Directed,5674,,1
161,56,Directed,5675,,1
119,252,Directed,5676,,1
238,82,Directed,5677,,1
197,251,Directed,5678,,1
105,272,Directed,5679,,1
291,332,Directed,5680,,1
289,137,Directed,5681,,1
195,306,Directed,5682,,1
313,26,Directed,5683,,1
108,21,Directed,5684,,1
98,203,Directed,5685,,1
260,160,Directed,5686,,1
346,204,Directed,5687,,1
271,21,Directed,5688,,1
334,113,Directed,5689,,1
172,238,Directed,5690,,1
299,48,Directed,5691,,1
65,314,Directed,5692,,1
1,194,Directed,5693,,1
175,321,Directed,5694,,1
261,223,Directed,5695,,1
10,169,Directed,5696,,1
185,315,Directed,5697,,1
67,136,Directed,5698,,1
203,211,Directed,5699,,1
329,272,Directed,5700,,1
203,297,Directed,5701,,1
212,239,Directed,5702,,1
80,194,Directed,5703,,1
161,118,Directed,5704,,1
170,250,Directed,5705,,1
176,290,Directed,5706,,1
225,227,Directed,5707,,1
324,118,Directed,5708,,1
98,104,Directed,5709,,1
318,119,Directed,5710,,1
291,72,Directed,5711,,1
38,141,Directed,5712,,1
156,295,Directed,5713,,1
31,51,Directed,5714,,1
123,334,Directed,5715,,1
251,284,Directed,5716,,1
19,312,Directed,5717,,1
53,322,Directed,5718,,1
203,67,Directed,5719,,1
89,6,Directed,5720,,1
235,21,Directed,5721,,1
68,177,Directed,5722,,1
227,177,Directed,5723,,1
281,108,Directed,5724,,1
280,188,Directed,5725,,1
144,14,Directed,5726,,1
126,88,Directed,5727,,1
315,249,Directed,5728,,1
232,40,Directed,5729,,1
131,99,Directed,5730,,1
103,271,Directed,5731,,1
119,185,Directed,5732,,1
200,3,Directed,5733,,1
7,22,Directed,5734,,1
132,134,Directed,5735,,1
239,212,Directed,5736,,1
231,178,Directed,5737,,1
21,223,Directed,5738,,1
194,266,Directed,5739,,1
109,186,Directed,5740,,1
127,284,Directed,5741,,1
322,56,Directed,5742,,1
123,67,Directed,5743,,1
299,346,Directed,5744,,1
144,23,Directed,5745,,1
149,326,Directed,5746,,1
56,75,Directed,5747,,1
144,343,Directed,5748,,1
98,122,Directed,5749,,1
31,291,Directed,5750,,1
272,108,Directed,5751,,1
118,26,Directed,5752,,1
232,298,Directed,5753,,1
13,172,Directed,5754,,1
184,135,Directed,5755,,1
200,75,Directed,5756,,1
203,82,Directed,5757,,1
280,121,Directed,5758,,1
177,278,Directed,5759,,1
236,297,Directed,5760,,1
26,265,Directed,5761,,1
331,56,Directed,5762,,1
298,40,Directed,5763,,1
262,220,Directed,5764,,1
314,342,Directed,5765,,1
127,36,Directed,5766,,1
94,53,Directed,5767,,1
186,178,Directed,5768,,1
41,230,Directed,5769,,1
118,268,Directed,5770,,1
185,274,Directed,5771,,1
161,252,Directed,5772,,1
199,203,Directed,5773,,1
299,24,Directed,5774,,1
175,99,Directed,5775,,1
325,252,Directed,5776,,1
87,161,Directed,5777,,1
239,234,Directed,5778,,1
302,194,Directed,5779,,1
252,29,Directed,5780,,1
142,158,Directed,5781,,1
88,73,Directed,5782,,1
16,261,Directed,5783,,1
20,44,Directed,5784,,1
3,72,Directed,5785,,1
57,249,Directed,5786,,1
278,86,Directed,5787,,1
251,36,Directed,5788,,1
44,343,Directed,5789,,1
143,131,Directed,5790,,1
50,277,Directed,5791,,1
203,200,Directed,5792,,1
72,3,Directed,5793,,1
72,200,Directed,5794,,1
252,200,Directed,5795,,1
280,332,Directed,5796,,1
254,101,Directed,5797,,1
161,21,Directed,5798,,1
86,278,Directed,5799,,1
328,275,Directed,5800,,1
91,193,Directed,5801,,1
248,169,Directed,5802,,1
9,276,Directed,5803,,1
258,141,Directed,5804,,1
303,236,Directed,5805,,1
82,331,Directed,5806,,1
97,230,Directed,5807,,1
113,132,Directed,5808,,1
53,260,Directed,5809,,1
23,175,Directed,5810,,1
186,345,Directed,5811,,1
184,139,Directed,5812,,1
239,323,Directed,5813,,1
54,27,Directed,5814,,1
291,213,Directed,5815,,1
188,170,Directed,5816,,1
62,276,Directed,5817,,1
128,265,Directed,5818,,1
170,315,Directed,5819,,1
143,278,Directed,5820,,1
188,323,Directed,5821,,1
25,158,Directed,5822,,1
56,66,Directed,5823,,1
40,232,Directed,5824,,1
123,98,Directed,5825,,1
284,36,Directed,5826,,1
331,98,Directed,5827,,1
303,109,Directed,5828,,1
25,176,Directed,5829,,1
136,339,Directed,5830,,1
104,123,Directed,5831,,1
124,170,Directed,5832,,1
174,112,Directed,5833,,1
85,323,Directed,5834,,1
325,222,Directed,5835,,1
290,56,Directed,5836,,1
3,142,Directed,5837,,1
300,130,Directed,5838,,1
109,324,Directed,5839,,1
251,108,Directed,5840,,1
218,328,Directed,5841,,1
9,176,Directed,5842,,1
128,322,Directed,5843,,1
26,203,Directed,5844,,1
252,13,Directed,5845,,1
149,115,Directed,5846,,1
111,312,Directed,5847,,1
119,313,Directed,5848,,1
68,175,Directed,5849,,1
186,9,Directed,5850,,1
128,313,Directed,5851,,1
330,242,Directed,5852,,1
211,331,Directed,5853,,1
72,26,Directed,5854,,1
67,203,Directed,5855,,1
257,315,Directed,5856,,1
236,105,Directed,5857,,1
213,87,Directed,5858,,1
21,342,Directed,5859,,1
329,184,Directed,5860,,1
224,122,Directed,5861,,1
31,168,Directed,5862,,1
67,212,Directed,5863,,1
115,312,Directed,5864,,1
273,78,Directed,5865,,1
332,158,Directed,5866,,1
26,308,Directed,5867,,1
13,238,Directed,5868,,1
159,172,Directed,5869,,1
92,24,Directed,5870,,1
207,56,Directed,5871,,1
278,225,Directed,5872,,1
115,226,Directed,5873,,1
315,158,Directed,5874,,1
56,119,Directed,5875,,1
26,232,Directed,5876,,1
135,309,Directed,5877,,1
232,231,Directed,5878,,1
172,252,Directed,5879,,1
159,127,Directed,5880,,1
68,225,Directed,5881,,1
231,9,Directed,5882,,1
23,245,Directed,5883,,1
322,60,Directed,5884,,1
141,39,Directed,5885,,1
266,53,Directed,5886,,1
176,239,Directed,5887,,1
162,326,Directed,5888,,1
304,161,Directed,5889,,1
237,31,Directed,5890,,1
169,56,Directed,5891,,1
322,1,Directed,5892,,1
1,133,Directed,5893,,1
133,96,Directed,5894,,1
115,14,Directed,5895,,1
313,199,Directed,5896,,1
304,212,Directed,5897,,1
90,179,Directed,5898,,1
346,320,Directed,5899,,1
113,342,Directed,5900,,1
142,122,Directed,5901,,1
9,258,Directed,5902,,1
75,200,Directed,5903,,1
148,119,Directed,5904,,1
320,127,Directed,5905,,1
118,211,Directed,5906,,1
280,231,Directed,5907,,1
14,226,Directed,5908,,1
281,284,Directed,5909,,1
239,325,Directed,5910,,1
9,304,Directed,5911,,1
173,163,Directed,5912,,1
30,48,Directed,5913,,1
187,302,Directed,5914,,1
56,161,Directed,5915,,1
260,126,Directed,5916,,1
165,72,Directed,5917,,1
88,48,Directed,5918,,1
103,339,Directed,5919,,1
56,62,Directed,5920,,1
188,25,Directed,5921,,1
73,331,Directed,5922,,1
272,304,Directed,5923,,1
24,266,Directed,5924,,1
67,290,Directed,5925,,1
271,172,Directed,5926,,1
172,211,Directed,5927,,1
57,277,Directed,5928,,1
118,331,Directed,5929,,1
67,188,Directed,5930,,1
211,203,Directed,5931,,1
278,46,Directed,5932,,1
113,119,Directed,5933,,1
320,184,Directed,5934,,1
194,346,Directed,5935,,1
134,66,Directed,5936,,1
51,237,Directed,5937,,1
322,130,Directed,5938,,1
56,332,Directed,5939,,1
67,123,Directed,5940,,1
199,315,Directed,5941,,1
25,231,Directed,5942,,1
56,272,Directed,5943,,1
315,291,Directed,5944,,1
266,196,Directed,5945,,1
133,141,Directed,5946,,1
243,41,Directed,5947,,1
177,175,Directed,5948,,1
65,261,Directed,5949,,1
24,180,Directed,5950,,1
243,216,Directed,5951,,1
265,311,Directed,5952,,1
249,187,Directed,5953,,1
119,217,Directed,5954,,1
85,188,Directed,5955,,1
187,101,Directed,5956,,1
309,320,Directed,5957,,1
36,197,Directed,5958,,1
87,315,Directed,5959,,1
322,161,Directed,5960,,1
28,151,Directed,5961,,1
177,131,Directed,5962,,1
239,203,Directed,5963,,1
187,92,Directed,5964,,1
299,94,Directed,5965,,1
280,304,Directed,5966,,1
31,339,Directed,5967,,1
56,221,Directed,5968,,1
179,145,Directed,5969,,1
48,54,Directed,5970,,1
3,122,Directed,5971,,1
203,331,Directed,5972,,1
53,254,Directed,5973,,1
98,113,Directed,5974,,1
56,169,Directed,5975,,1
313,239,Directed,5976,,1
8,91,Directed,5977,,1
126,322,Directed,5978,,1
22,7,Directed,5979,,1
21,9,Directed,5980,,1
67,119,Directed,5981,,1
25,76,Directed,5982,,1
83,31,Directed,5983,,1
188,165,Directed,5984,,1
137,41,Directed,5985,,1
341,9,Directed,5986,,1
271,332,Directed,5987,,1
315,133,Directed,5988,,1
312,262,Directed,5989,,1
157,124,Directed,5990,,1
121,165,Directed,5991,,1
232,158,Directed,5992,,1
249,315,Directed,5993,,1
3,188,Directed,5994,,1
297,67,Directed,5995,,1
128,176,Directed,5996,,1
218,181,Directed,5997,,1
239,232,Directed,5998,,1
21,184,Directed,5999,,1
152,4,Directed,6000,,1
340,7,Directed,6001,,1
312,111,Directed,6002,,1
327,95,Directed,6003,,1
2,333,Directed,6004,,1
59,239,Directed,6005,,1
248,26,Directed,6006,,1
249,254,Directed,6007,,1
184,346,Directed,6008,,1
59,268,Directed,6009,,1
324,109,Directed,6010,,1
82,158,Directed,6011,,1
322,85,Directed,6012,,1
169,334,Directed,6013,,1
56,59,Directed,6014,,1
252,65,Directed,6015,,1
224,291,Directed,6016,,1
120,247,Directed,6017,,1
334,21,Directed,6018,,1
325,13,Directed,6019,,1
226,2,Directed,6020,,1
119,176,Directed,6021,,1
280,290,Directed,6022,,1
277,186,Directed,6023,,1
118,200,Directed,6024,,1
9,67,Directed,6025,,1
148,109,Directed,6026,,1
248,53,Directed,6027,,1
325,186,Directed,6028,,1
323,103,Directed,6029,,1
170,3,Directed,6030,,1
197,320,Directed,6031,,1
24,194,Directed,6032,,1
342,13,Directed,6033,,1
141,122,Directed,6034,,1
